Thana Name,District,Location,Crime Type,Date,Time
Wagha Town,Lahore,"31.481022808973805,74.38122865613136",robbery,11/01/15,20:10:00
Wagha Town,Lahore,"31.477692974757208,74.39395984902568",robbery,13/01/15,16:30:00
Wagha Town,Lahore,"31.478125967405212,74.39456639844937",othercrimes,08/01/15,18:30:00
Wagha Town,Lahore,"31.478593130570765,74.38941104703623",bulgery,04/01/15,0:45:00
Wagha Town,Lahore,"31.470325597248323,74.38911792761738",loudspeakeract,16/01/15,13:05:00
Wagha Town,Lahore,"31.46321867934481,74.38354434240371",robbery,14/01/15,15:30:00
Wagha Town,Lahore,"31.47457279946906,74.37687538369022",robbery,12/01/15,17:00:00
Wagha Town,Lahore,"31.472414499898928,74.36998093154769",miscellaneous,16/01/15,19:40:00
Wagha Town,Lahore,"31.472220646958323,74.36938090243221",armsordinanceact,16/01/15,19:45:00
Wagha Town,Lahore,"31.47028607927139,74.36839488776548",robbery,16/01/15,18:00:00
Wagha Town,Lahore,"31.491076465200493,74.37810365398967",robbery,17/01/15,22:30:00
Wagha Town,Lahore,"31.478201955896157,74.41313312815207",armsordinanceact,01/01/15,0:01:00
Wagha Town,Lahore,"31.47068580267251,74.39026551966795",pricecontrol,01/01/15,0:35:00
Wagha Town,Lahore,"31.47583191519197,74.40076641218884",pricecontrol,01/01/15,0:10:00
Wagha Town,Lahore,"31.483871290305373,74.39288926904105",pricecontrol,01/01/15,0:05:00
Wagha Town,Lahore,"31.4845592,74.3870259",bulgery,01/01/15,10:50:00
Wagha Town,Lahore,"31.467316423132672,74.40351817201667",armsordinanceact,04/01/15,4:55:00
Wagha Town,Lahore,"31.467216162593665,74.40356281241237",armsordinanceact,04/01/15,5:00:00
Wagha Town,Lahore,"31.475782886203035,74.41622345095938",miscellaneous,04/01/15,18:40:00
Wagha Town,Lahore,"31.475879180037634,74.41621646364771",armsordinanceact,04/01/15,18:50:00
Wagha Town,Lahore,"31.47664677981104,74.41711264612599",othercrimes,03/01/15,23:40:00
Wagha Town,Lahore,"31.48300505923517,74.39405859517277",othercrimes,03/01/15,14:30:00
Wagha Town,Lahore,"31.482576384100106,74.39513124970264",othercrimes,04/01/15,15:00:00
Wagha Town,Lahore,"31.475975385850234,74.39853858807184",othercrimes,03/01/15,11:50:00
Wagha Town,Lahore,"31.458006764917084,74.41486649430404",bulgery,04/01/15,22:00:00
Wagha Town,Lahore,"31.487086070464496,74.38933747852307",dacoity,05/01/15,12:35:00
Wagha Town,Lahore,"31.475835060805704,74.41636638976878",miscellaneous,08/01/15,23:55:00
Wagha Town,Lahore,"31.475862825184056,74.4163753544435",armsordinanceact,09/01/15,0:05:00
Wagha Town,Lahore,"31.48509374272278,74.39308400787206",pricecontrol,08/01/15,19:10:00
Wagha Town,Lahore,"31.469084014657987,74.40592148602904",miscellaneous,09/01/15,22:50:00
